IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,312.681,445.221,1,0,1,328,11,60,12,182.265,181.518,175.21,3.8976,5.34345,6.5184
1,772.5,433.5,1,0,1,131,7,84,9,183.466,184.649,179.55,2.96262,4.2829,4.75431
1,390.5,429.5,1,0,1,246,10,52,14,183.715,182.646,176.496,3.43958,5.12421,5.19518
1,1262.65,427.231,1,0,1,291,10,60,7,171.096,171.289,165.526,3.14372,4.5054,5.93551
1,708.5,402.5,1,0,1,38,4,60,18,182.526,182.526,172.447,2.75824,2.90203,2.71214
1,1017.5,391,1,0,1,29,4,52,13,177.552,176.552,169.931,2.92239,1.76951,2.89247
1,1036.5,393.5,1,0,1,88,6,76,6,175.909,176.568,172.534,2.39509,2.80149,3.30093
1,680.5,388.5,1,0,1,152,7,68,12,182.928,184.401,177.276,2.8852,2.74439,4.98384
1,555.05,389.85,1,0,1,324,10,60,10,182.343,182.204,176.454,4.10762,4.5558,5.75846
1,1086,382,1,0,1,56,6,44,12,177.339,174.714,169.214,3.45878,2.95224,4.21111
1,399,378.5,1,0,1,189,8,44,13,182.582,180.952,174.778,3.46239,3.83643,3.76856
1,996,367,1,0,1,64,5,34,11,178.047,175.406,170.594,2.87441,2.33134,2.95031
1,606.5,353.5,1,0,1,38,4,56,19,181.868,180.921,170.395,2.97579,3.05684,3.76767
1,285,349,1,0,1,189,9,54,16,178.439,176.55,168.466,3.75887,4.252,5.09221
1,1382.12,321.577,1,0,1,86,6,40,15,161.07,157.105,149.023,2.3622,3.74933,5.71262
1,405.8,320.9,1,0,1,91,6,42,16,180.374,177.165,169.681,3.4747,2.72419,3.91973
1,1264,323.5,1,0,1,208,9,44,12,171.139,169.067,163.389,4.27355,3.91635,6.8233
1,1299.5,313,1,0,1,45,4,44,15,169.311,165.556,157.956,2.61689,3.37164,3.20056
1,1366.41,310.647,1,0,1,65,5,54,14,159.585,158.738,149.292,3.1404,2.50156,3.6237
1,1149.5,309,1,0,1,192,8,48,8,175.286,174.302,170.089,3.6568,3.84905,5.81507
1,591,307,1,0,1,301,11,60,7,183.153,182.558,178.947,3.41601,4.88294,5.3099
1,333.2,298.6,1,0,1,213,9,42,16,179.944,176.92,170.164,3.00155,4.12618,6.17
1,358.25,288.75,1,0,1,113,6,30,16,180.204,175.416,170.442,3.46447,2.75855,3.14492
1,1368.5,283,1,0,1,51,5,44,21,156.961,151.667,139.353,2.72594,3.0548,3.0563
1,776,275,1,0,1,330,11,48,8,179.573,179.236,175.279,3.67466,4.97857,5.10039
1,395.5,254,1,0,1,135,7,38,17,178.822,174.511,167.83,2.51958,3.50885,4.5246
1,572,239,1,0,1,255,10,50,10,180.325,178.522,174.361,4.09077,4.2465,5.54727
1,486.618,227.971,1,0,1,82,6,60,4,29.6585,29.7195,29.3049,65.2361,64.8879,63.6692
1,736.25,218.75,1,0,1,115,7,38,13,180.504,178.035,172.539,3.70707,3.93385,4.50226
1,1113.52,214.28,1,0,1,374,12,60,6,174.452,173.775,169.58,3.93268,5.62992,5.5636
1,851,208,1,0,1,241,10,22,13,179.232,173.664,171.129,2.74873,4.63921,4.30159
1,999,208,1,0,1,391,12,40,9,176.67,175.051,170.992,4.24468,4.86173,6.92342
1,1537.5,189,1,0,1,44,4,216,15,136.136,141.273,148.591,22.5529,24.0162,25.4998
1,474.439,182.951,1,0,1,209,9,38,12,176.928,174.364,169.163,3.04252,3.40649,3.48485
1,333,177,1,0,1,53,5,252,5,124.34,123.396,127.849,13.0266,16.2034,17.4413
1,706.85,171.55,1,0,1,68,5,36,19,178.676,174.162,167.147,3.64264,2.59605,3.53948
1,1213.05,157.85,1,0,1,364,11,30,11,164.805,161.245,157.049,5.48108,6.50356,8.3748
1,673.017,143.293,1,0,1,322,11,40,10,179.245,177.233,173.494,4.79916,4.86155,7.0655
1,415.346,118.269,1,0,1,92,7,344,5,104.337,100.424,100.935,12.4562,16.3398,15.6746
1,528.552,118.379,1,0,1,327,11,38,17,176.654,172.817,165.78,3.44821,5.16883,6.98064
1,1120,109.5,1,0,1,408,12,36,14,167.843,163.914,158.054,3.95222,6.65685,8.77263
1,450,97.5,1,0,1,137,8,216,6,107.314,108.956,112.358,21.196,23.6467,24.5916
